alpha,z,u_min,max_scaled_Wuu_residual,median_scaled_Wuu_residual
2.0,1,1.01,8.159672952506858e-05,3.184285582937695e-12
2.0,1,1.05,1.1423412646593967e-05,2.9228592086033737e-12
2.0,1,1.2,3.0757398982849543e-06,1.464277668216475e-12
0.5,1,1.01,5.405163454380579e-05,8.03032084370458e-12
0.5,1,1.05,7.942613231809448e-06,7.217320650490652e-12
0.5,1,1.2,1.1074495462060074e-06,5.4123605723350055e-12
0.0,2,1.01,0.00041872135623755046,5.784308900250227e-11
0.0,2,1.05,0.00014447705445638683,5.325825401068895e-11
0.0,2,1.2,6.0646640703751475e-06,4.3131170655115336e-11
1.0,2,1.01,0.00013221770046501814,1.2658577060422672e-11
1.0,2,1.05,0.00013221770046501814,1.1724395210652332e-11
1.0,2,1.2,5.593398846877318e-06,5.827632070375351e-12
4.0,5,1.01,8.553588827528838e-05,4.183509940164714e-15
4.0,5,1.05,1.0415468425212411e-05,3.235618110667416e-15
4.0,5,1.2,1.0415468425212411e-05,1.2577544836436968e-15
