D,case,total_rows,valid_rows,degenerate_rows,paper_small_width_rows,finite_width_extension_rows,strict_rows,prescription_rows
3,II-b_aDM_0p4_muX_0p5,343,336,7,336,0,0,336
3,III-a_Phi_0p2,343,336,7,336,0,336,0
3,III-a_Phi_0p4,343,336,7,336,0,336,0
3,III-b_Phi_0p2_l1,343,336,7,336,0,0,336
3,III-b_Phi_0p4_l1,343,336,7,336,0,0,336
3,II_aDM_0p4,343,336,7,336,0,336,0
3,II_aDM_0p8,343,336,7,336,0,336,0
3,II_aDM_1p2,343,336,7,336,0,336,0
3,I_temporal_U1_qX_0p5,343,336,7,336,0,336,0
3,baseline,343,336,7,336,0,336,0
4,II-b_aDM_0p4_muX_0p5,343,343,0,336,7,0,343
4,III-a_Phi_0p2,343,343,0,336,7,343,0
4,III-a_Phi_0p4,343,343,0,336,7,343,0
4,III-b_Phi_0p2_l1,343,343,0,336,7,0,343
4,III-b_Phi_0p4_l1,343,343,0,336,7,0,343
4,II_aDM_0p4,343,343,0,336,7,343,0
4,II_aDM_0p8,343,343,0,336,7,343,0
4,II_aDM_1p2,343,343,0,336,7,343,0
4,I_temporal_U1_qX_0p5,343,343,0,336,7,343,0
4,baseline,343,343,0,336,7,343,0
5,II-b_aDM_0p4_muX_0p5,343,343,0,322,21,0,343
5,III-a_Phi_0p2,343,343,0,322,21,343,0
5,III-a_Phi_0p4,343,343,0,322,21,343,0
5,III-b_Phi_0p2_l1,343,343,0,322,21,0,343
5,III-b_Phi_0p4_l1,343,343,0,322,21,0,343
5,II_aDM_0p4,343,343,0,322,21,343,0
5,II_aDM_0p8,343,343,0,322,21,343,0
5,II_aDM_1p2,343,343,0,322,21,343,0
5,I_temporal_U1_qX_0p5,343,343,0,322,21,343,0
5,baseline,343,343,0,322,21,343,0
