D,z,theta,case_id,n_points,max_abs_delta_omega,max_abs_delta_b_profile,omega_equal_visible,b_equal_visible
3,1.0,0.5,case_I,199,0.0,0.0,True,True
3,1.0,0.5,case_II,199,0.05113732182698394,0.0,False,True
3,1.0,0.5,case_IIIa,199,0.0,0.0,True,True
3,1.0,0.5,case_IIIb,199,0.0,0.0,True,True
3,1.0,1.0,case_I,199,0.0,0.0,True,True
3,1.0,1.0,case_II,199,0.035913519784417314,0.0,False,True
3,1.0,1.0,case_IIIa,199,0.0,0.0,True,True
3,1.0,1.0,case_IIIb,199,0.0,0.0,True,True
3,1.0,2.0,case_I,199,0.0,0.0,True,True
3,1.0,2.0,case_II,199,0.020871194434802093,0.0,False,True
3,1.0,2.0,case_IIIa,199,0.0,0.0,True,True
3,1.0,2.0,case_IIIb,199,0.0,0.0,True,True
3,3.0,0.0,case_I,199,0.0,0.0,True,True
3,3.0,0.0,case_II,199,0.029011829482528395,0.0,False,True
3,3.0,0.0,case_IIIa,199,0.0,0.0,True,True
3,3.0,0.0,case_IIIb,199,0.0,0.0,True,True
3,5.0,4.0,case_I,199,0.0,0.0,True,True
3,5.0,4.0,case_II,199,0.017855308111176915,0.0,False,True
3,5.0,4.0,case_IIIa,199,0.0,0.0,True,True
3,5.0,4.0,case_IIIb,199,0.0,0.0,True,True
4,1.0,0.0,case_I,199,0.0,0.0,True,True
4,1.0,0.0,case_II,199,0.035913519784417314,0.0,False,True
4,1.0,0.0,case_IIIa,199,0.0,0.0,True,True
4,1.0,0.0,case_IIIb,199,0.0,0.0,True,True
4,1.0,0.5,case_I,199,0.0,0.0,True,True
4,1.0,0.5,case_II,199,0.020871194434802093,0.0,False,True
4,1.0,0.5,case_IIIa,199,0.0,0.0,True,True
4,1.0,0.5,case_IIIb,199,0.0,0.0,True,True
4,1.0,1.0,case_I,199,0.0,0.0,True,True
4,1.0,1.0,case_II,199,0.013459396968534793,0.0,False,True
4,1.0,1.0,case_IIIa,199,0.0,0.0,True,True
4,1.0,1.0,case_IIIb,199,0.0,0.0,True,True
4,1.0,2.0,case_I,199,0.0,0.0,True,True
4,1.0,2.0,case_II,199,0.006465634553788194,0.0,False,True
4,1.0,2.0,case_IIIa,199,0.0,0.0,True,True
4,1.0,2.0,case_IIIb,199,0.0,0.0,True,True
4,3.0,0.0,case_I,199,0.0,0.0,True,True
4,3.0,0.0,case_II,199,0.023586842384681006,0.0,False,True
4,3.0,0.0,case_IIIa,199,0.0,0.0,True,True
4,3.0,0.0,case_IIIb,199,0.0,0.0,True,True
4,5.0,4.0,case_I,199,0.0,0.0,True,True
4,5.0,4.0,case_II,199,0.011133394074671482,0.0,False,True
4,5.0,4.0,case_IIIa,199,0.0,0.0,True,True
4,5.0,4.0,case_IIIb,199,0.0,0.0,True,True
5,1.0,0.0,case_I,199,0.0,0.0,True,True
5,1.0,0.0,case_II,199,0.020871194434802093,0.0,False,True
5,1.0,0.0,case_IIIa,199,0.0,0.0,True,True
5,1.0,0.0,case_IIIb,199,0.0,0.0,True,True
5,1.0,0.5,case_I,199,0.0,0.0,True,True
5,1.0,0.5,case_II,199,0.011050859905982313,0.0,False,True
5,1.0,0.5,case_IIIa,199,0.0,0.0,True,True
5,1.0,0.5,case_IIIb,199,0.0,0.0,True,True
5,1.0,1.0,case_I,199,0.0,0.0,True,True
5,1.0,1.0,case_II,199,0.006465634553788194,0.0,False,True
5,1.0,1.0,case_IIIa,199,0.0,0.0,True,True
5,1.0,1.0,case_IIIb,199,0.0,0.0,True,True
5,1.0,2.0,case_I,199,0.0,0.0,True,True
5,1.0,2.0,case_II,199,0.0025598660198358006,0.0,False,True
5,1.0,2.0,case_IIIa,199,0.0,0.0,True,True
5,1.0,2.0,case_IIIb,199,0.0,0.0,True,True
5,3.0,0.0,case_I,199,0.0,0.0,True,True
5,3.0,0.0,case_II,199,0.019669478312654115,0.0,False,True
5,3.0,0.0,case_IIIa,199,0.0,0.0,True,True
5,3.0,0.0,case_IIIb,199,0.0,0.0,True,True
5,5.0,4.0,case_I,199,0.0,0.0,True,True
5,5.0,4.0,case_II,199,0.007502878919901201,0.0,False,True
5,5.0,4.0,case_IIIa,199,0.0,0.0,True,True
5,5.0,4.0,case_IIIb,199,0.0,0.0,True,True
